Ticker,Current Price,Forward PE,analyst target price,beta,analyst sentiment,quarterly_earnings_growth,quarterly_revenue_growth,revenue_per_share_ttm,last_quarter_report_date,fiscal_date_ending,reported_eps,estimated_eps,earnings_surprise,earnings_surprise_percent,last_quarter,last_quarter_revenue,last_quarter_net_income,last_quarter_gross_profit,last_quarter_operating_income,last_quarter_net_margin,last_quarter_gross_margin,last_quarter_total_assets,last_quarter_total_debt,last_quarter_cash,market_cap,shares_outstanding,sector
SOFI,21.23,62.5,20.06,1.921,Weak,9.98,0.439,2.776,N/A,N/A,,,,,2025-06-30,1121442000.0,97263000.0,836839000.0,112192000.0,8.673029902571868,74.62169242814163,41112171000.0,,,25394901000.0,1196180000.0,REAL ESTATE & CONSTRUCTION
SYM,50.85,256.41,39.07,2.037,Overvalued,0.0,0.397,19.71,N/A,N/A,,,,,2025-03-31,549651000.0,-3925000.0,107828000.0,-32059000.0,-0.7140894858737635,19.617539129374823,1964185000.0,,,29981719000.0,109080000.0,REAL ESTATE & CONSTRUCTION
TBBK,62.49,,68.0,1.256,Hold,0.21,0.112,10.84,N/A,N/A,,,,,2025-06-30,-56059000.0,59821000.0,-128532000.0,-75238000.0,,,8839231000.0,,,2890969000.0,46262900.0,FINANCE
TOST,46.66,49.75,45.88,2.007,Hold,0.0,0.244,9.23,N/A,N/A,,,,,2025-03-31,1337000000.0,56000000.0,346000000.0,43000000.0,4.18848167539267,25.878833208676138,2564000000.0,22000000.0,,26993510000.0,498000000.0,TECHNOLOGY
TSLA,322.27,158.73,306.32,2.398,Hold,-0.175,-0.118,28.86,N/A,N/A,,,,,2025-06-30,22496000000.0,1172000000.0,3878000000.0,923000000.0,5.209815078236131,17.238620199146514,128567000000.0,13134000000.0,,976117957000.0,3225450000.0,MANUFACTURING
TSM,235.21,23.87,269.76,1.341,Buy,0.607,0.386,81.99,N/A,N/A,,,,,2025-06-30,933792000000.0,398273000000.0,547369000000.0,463423000000.0,42.65114715054316,58.61787207429492,7006350000000.0,,,1219921445000.0,5186520000.0,MANUFACTURING
TSSI,28.83,,7.0,1.664,Overvalued,178.1,5.23,10.15,N/A,N/A,,,,,2025-03-31,98959000.0,2979000.0,9210000.0,4113000.0,3.0103376145676495,9.306884669408543,113539000.0,32916000.0,,677805000.0,25020500.0,TRADE & SERVICES
URBN,76.21,15.6,76.5,1.442,Hold,0.785,0.107,61.51,N/A,N/A,,,,,2025-04-30,1329501000.0,108347000.0,489064000.0,128227000.0,8.149448552502028,36.785530811936205,4457076000.0,1140529000.0,,6831632000.0,89642000.0,TRADE & SERVICES
VEEV,281.35,38.02,296.17,0.986,Hold,0.398,0.167,17.6,N/A,N/A,,,,,2025-04-30,759043000.0,228190000.0,585219000.0,233732000.0,30.06285546405144,77.09958460851361,7765077000.0,77231000.0,,45975966000.0,163412000.0,TECHNOLOGY
VRT,141.59,38.76,154.96,1.753,Hold,0.804,0.351,24.02,N/A,N/A,,,,,2025-06-30,2638100000.0,324200000.0,896600000.0,421100000.0,12.289147492513552,33.98658125165839,10406200000.0,224100000.0,,54068548000.0,381867000.0,REAL ESTATE & CONSTRUCTION
WMT,97.78,37.74,109.54,0.677,Buy,-0.111,0.025,85.31,N/A,N/A,,,,,2025-04-30,165609000000.0,4487000000.0,41306000000.0,7135000000.0,2.7093938131381745,24.941881177955306,262372000000.0,67205000000.0,,785991533000.0,7980420000.0,TRADE & SERVICES
XOM,105.95,17.15,123.79,0.469,Buy,-0.236,-0.107,74.88,N/A,N/A,,,,,2025-06-30,93060000000.0,9240000000.0,29057000000.0,13665000000.0,9.929078014184398,31.22394154309048,447597000000.0,65173000000.0,,467395314000.0,4263000000.0,ENERGY & TRANSPORTATION
ZS,280.27,75.76,315.61,1.109,Buy,0.0,0.226,16.63,N/A,N/A,,,,,2025-04-30,678034000.0,-4125000.0,522056000.0,-25411000.0,-0.6083765710864057,76.99554889577809,5339628000.0,1228815000.0,,43636916000.0,155696000.0,TECHNOLOGY
